slug,category,sub_category,search_keywords,source_url,notes
galunggong-per-kg,fresh-produce,fish,"fresh fish market philippines wet market","https://unsplash.com/s/photos/fresh-fish","Use first relevant result - should show fish on ice/display"
bangus-deboned,fresh-produce,fish,"milkfish bangus fresh fish","https://unsplash.com/s/photos/bangus-milkfish","Search for bangus or milkfish specifically"
fresh-tilapia,fresh-produce,fish,"fresh tilapia fish market","https://unsplash.com/s/photos/fresh-tilapia","Search for tilapia specifically"
saging-saba,fresh-produce,fruits,"saba banana philippines cooking banana","https://unsplash.com/s/photos/saba-banana","Search for saba banana or cooking banana"
carabao-mango,fresh-produce,fruits,"carabao mango philippine mango","https://unsplash.com/s/photos/carabao-mango","Search for philippine mango specifically"
siling-labuyo,fresh-produce,vegetables,"chili pepper labuyo philippines","https://unsplash.com/s/photos/chili-pepper","Use image of small red chilies"
kamatis,fresh-produce,vegetables,"fresh tomatoes market stall","https://unsplash.com/s/photos/fresh-tomatoes","Use image of red tomatoes"
bawang,fresh-produce,vegetables,"garlic bulbs fresh market","https://unsplash.com/s/photos/fresh-garlic","Use image of garlic bulbs"
sibuyas,fresh-produce,vegetables,"fresh onions red white","https://unsplash.com/s/photos/fresh-onions","Use image of onions"
talong,fresh-produce,vegetables,"eggplant fresh market","https://unsplash.com/s/photos/fresh-eggplant","Use image of purple eggplant"
kangkong,fresh-produce,vegetables,"water spinach kangkong","https://unsplash.com/s/photos/water-spinach","Search for water spinach or kangkong"
calamansi,fresh-produce,fruits,"calamansi philippine lime","https://unsplash.com/s/photos/calamansi","Search for calamansi or philippine lime"
ampalaya,fresh-produce,vegetables,"bitter gourd ampalaya","https://unsplash.com/s/photos/bitter-gourd","Search for bitter gourd"
sayote,fresh-produce,vegetables,"chayote sayote vegetable","https://unsplash.com/s/photos/chayote","Search for chayote"
repolyo,fresh-produce,vegetables,"cabbage fresh market","https://unsplash.com/s/photos/fresh-cabbage","Use image of cabbage head"
luya,fresh-produce,vegetables,"fresh ginger root","https://unsplash.com/s/photos/fresh-ginger","Use image of ginger root"
labanos,fresh-produce,vegetables,"white radish daikon","https://unsplash.com/s/photos/white-radish","Search for daikon or white radish"
mustasa,fresh-produce,vegetables,"mustard greens leafy","https://unsplash.com/s/photos/mustard-greens","Search for mustard greens"
sitaw,fresh-produce,vegetables,"string beans long beans","https://unsplash.com/s/photos/string-beans","Search for long beans or string beans"
patola,fresh-produce,vegetables,"luffa sponge gourd","https://unsplash.com/s/photos/luffa-gourd","Search for luffa or sponge gourd"
market-tour,fresh-produce,service,"filipino market tour guide","https://unsplash.com/s/photos/filipino-market","Use image of bustling Philippine market"
pork-kasim,meat-seafood,pork,"raw pork shoulder kasim","https://unsplash.com/s/photos/raw-pork-meat","Use image of raw pork cuts"
pork-liempo,meat-seafood,pork,"raw pork belly liempo","https://unsplash.com/s/photos/pork-belly","Use image of pork belly"
pork-chop,meat-seafood,pork,"raw pork chop steak","https://unsplash.com/s/photos/pork-chop","Use image of pork chops"
chicken-legs,meat-seafood,chicken,"raw chicken whole legs","https://unsplash.com/s/photos/raw-chicken","Use image of chicken legs/pieces"
chicken-wings,meat-seafood,chicken,"raw chicken wings","https://unsplash.com/s/photos/chicken-wings","Use image of chicken wings"
beef-bulalo,meat-seafood,beef,"raw beef bone marrow bulalo","https://unsplash.com/s/photos/raw-beef","Use image of beef cuts with bone"
hipon,meat-seafood,seafood,"fresh shrimp hipon prawns","https://unsplash.com/s/photos/fresh-shrimp","Use image of fresh shrimp"
pusit,meat-seafood,seafood,"fresh squid pusit","https://unsplash.com/s/photos/fresh-squid","Use image of fresh squid"
tahong,meat-seafood,seafood,"fresh mussels tahong","https://unsplash.com/s/photos/fresh-mussels","Use image of fresh mussels"
alimasag,meat-seafood,seafood,"fresh crab alimasag","https://unsplash.com/s/photos/fresh-crab","Use image of fresh crab"
frozen-hotdog,meat-seafood,processed,"frozen hotdog packaged","https://unsplash.com/s/photos/frozen-hotdog","Use image of packaged hotdogs"
frozen-meatballs,meat-seafood,processed,"frozen meatballs packaged","https://unsplash.com/s/photos/frozen-meatballs","Use image of frozen meatballs"
beef-tapa,meat-seafood,beef,"beef tapa dried cured","https://unsplash.com/s/photos/beef-jerky","Search for beef jerky or cured beef"
bangus-belly,meat-seafood,fish,"bangus belly milkfish","https://unsplash.com/s/photos/milkfish","Use image of milkfish"
tuna-belly,meat-seafood,fish,"tuna belly toro","https://unsplash.com/s/photos/tuna-belly","Search for tuna belly or toro"
sinandomeng-5kg,rice-groceries,rice,"rice grain white sinandomeng","https://unsplash.com/s/photos/white-rice-grain","Use image of white rice grains"
jasponica-5kg,rice-groceries,rice,"rice grain jasponica","https://unsplash.com/s/photos/rice-grains","Use image of rice grains"
datu-puti-vinegar,rice-groceries,condiments,"vinegar bottle Filipino","https://unsplash.com/s/photos/vinegar-bottle","Use image of vinegar bottle"
soy-sauce,rice-groceries,condiments,"soy sauce bottle","https://unsplash.com/s/photos/soy-sauce-bottle","Use image of soy sauce bottle"
cooking-oil,rice-groceries,condiments,"cooking oil bottle","https://unsplash.com/s/photos/cooking-oil-bottle","Use image of cooking oil bottle"
brown-sugar,rice-groceries,dry-goods,"brown sugar pile","https://unsplash.com/s/photos/brown-sugar","Use image of brown sugar"
refined-sugar,rice-groceries,dry-goods,"white sugar refined","https://unsplash.com/s/photos/white-sugar","Use image of white sugar"
iodized-salt,rice-groceries,dry-goods,"iodized salt pile","https://unsplash.com/s/photos/sea-salt","Use image of salt"
flour,rice-groceries,dry-goods,"all purpose flour pile","https://unsplash.com/s/photos/flour","Use image of flour"
cornstarch,rice-groceries,dry-goods,"cornstarch powder","https://unsplash.com/s/photos/cornstarch","Use image of cornstarch"
